image_path,prompt,response
test/28.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Plover (Semipalmated Plover)
2. Red-necked Stint (Red-necked Stint)
3. Kentish Plover (Kentish Plover)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",1
test/215.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Plover (Semipalmated Plover)
2. Wilson's Plover (Wilson's Plover)
3. Red-necked Phalarope (Red-necked Phalarope)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",1
test/292.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Marsh Sandpiper (Marsh Sandpiper)
2. Kentish Plover (Kentish Plover)
3. Semipalmated Plover (Semipalmated Plover)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",2
test/477.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Wilson's Plover (Wilson's Plover)
2. Semipalmated Plover (Semipalmated Plover)
3. Pacific Gull (Pacific Gull)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",2
test/743.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Plover (Semipalmated Plover)
2. Kentish Plover (Kentish Plover)
3. Wilson's Plover (Wilson's Plover)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",1
test/882.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Plover (Semipalmated Plover)
2. Whiskered Tern (Whiskered Tern)
3. Fulica atra (Fulica atra)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",3
test/1027.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Plover (Semipalmated Plover)
2. Kentish Plover (Kentish Plover)
3. Wilson's Plover (Wilson's Plover)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",1
test/1109.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Charadrius collaris (Charadrius collaris)
2. Semipalmated Plover (Semipalmated Plover)
3. Lark Sparrow (Lark Sparrow)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",2
test/1206.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Plover (Semipalmated Plover)
2. Wilson's Plover (Wilson's Plover)
3. Kentish Plover (Kentish Plover)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",1
test/1741.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Plover (Semipalmated Plover)
2. Kentish Plover (Kentish Plover)
3. Wilson's Plover (Wilson's Plover)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",1
test/1818.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Plover (Semipalmated Plover)
2. Wilson's Plover (Wilson's Plover)
3. Great Kiskadee (Great Kiskadee)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",1
test/2103.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Kentish Plover (Kentish Plover)
2. Semipalmated Plover (Semipalmated Plover)
3. Red-necked Stint (Red-necked Stint)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",2
test/2227.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Plover (Semipalmated Plover)
2. Charadrius collaris (Charadrius collaris)
3. Wilson's Plover (Wilson's Plover)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",1
test/2636.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Plover (Semipalmated Plover)
2. Charadrius collaris (Charadrius collaris)
3. Kentish Plover (Kentish Plover)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",2
test/2703.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Plover (Semipalmated Plover)
2. Charadrius collaris (Charadrius collaris)
3. Lark Sparrow (Lark Sparrow)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",1
test/2920.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Plover (Semipalmated Plover)
2. Kentish Plover (Kentish Plover)
3. Wilson's Plover (Wilson's Plover)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",1
test/3436.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Charadrius collaris (Charadrius collaris)
2. Violet-green Swallow (Violet-green Swallow)
3. Gilded Flicker (Gilded Flicker)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",1
test/3440.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Plover (Semipalmated Plover)
2. Bonaparte's Gull (Bonaparte's Gull)
3. Charadrius collaris (Charadrius collaris)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",1
test/3454.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Plover (Semipalmated Plover)
2. Wilson's Plover (Wilson's Plover)
3. Kentish Plover (Kentish Plover)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",1
test/3806.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Plover (Semipalmated Plover)
2. Wilson's Plover (Wilson's Plover)
3. Kentish Plover (Kentish Plover)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",1
test/4128.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Plover (Semipalmated Plover)
2. Wilson's Plover (Wilson's Plover)
3. Kentish Plover (Kentish Plover)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",1
test/4283.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Plover (Semipalmated Plover)
2. Wilson's Plover (Wilson's Plover)
3. Black-fronted Dotterel (Black-fronted Dotterel)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",1
test/4312.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Kentish Plover (Kentish Plover)
2. Wilson's Plover (Wilson's Plover)
3. Semipalmated Plover (Semipalmated Plover)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",3
test/4505.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Sandpiper (Semipalmated Sandpiper)
2. Black-fronted Dotterel (Black-fronted Dotterel)
3. Marsh Sandpiper (Marsh Sandpiper)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",1
test/4533.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Plover (Semipalmated Plover)
2. Kentish Plover (Kentish Plover)
3. Wilson's Plover (Wilson's Plover)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",1
test/5346.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Plover (Semipalmated Plover)
2. Wilson's Plover (Wilson's Plover)
3. Charadrius collaris (Charadrius collaris)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",1
test/5618.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Charadrius collaris (Charadrius collaris)
2. Kentish Plover (Kentish Plover)
3. Black Oystercatcher (Black Oystercatcher)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",2
test/6197.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Plover (Semipalmated Plover)
2. Wilson's Plover (Wilson's Plover)
3. Kentish Plover (Kentish Plover)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",1
test/6517.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Plover (Semipalmated Plover)
2. Wilson's Plover (Wilson's Plover)
3. Kentish Plover (Kentish Plover)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",1
test/6603.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Plover (Semipalmated Plover)
2. Wilson's Plover (Wilson's Plover)
3. Charadrius collaris (Charadrius collaris)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",1
test/6708.jpg,"You are a helpful assistant that identifies bird species from images.
Look at the image and choose the most likely bird species from the following options:

1. Semipalmated Plover (Semipalmated Plover)
2. Kentish Plover (Kentish Plover)
3. Wilson's Plover (Wilson's Plover)

Respond only with the number corresponding to the most likely option: 1, 2, or 3.",1
